district,season,rainfall_mm,avg_temp_C,humidity_%,pH,N_kg_ha,P_kg_ha,K_kg_ha,crop
Mandya,Kharif,702.8,28.2,37.2,6.48,105.47,58.87,112.5,Vegetables
Haveri,Kharif,639.5,25.9,61.6,6.67,29.29,21.1,12.9,Pulses
Hassan,Year-round,919.7,25.1,51.9,6.88,74.91,74.73,114.42,Coffee
Vijayapura,Rabi,533.4,31.1,61.7,7.16,63.3,60.18,100.5,Onion
Dharwad,Kharif,945.5,23.8,44.8,7.57,25.65,17.62,24.01,Pulses
Chitradurga,Summer,682.5,22.2,74.8,5.84,54.85,25.43,34.67,Sorghum
Mandya,Year-round,703.1,22.0,63.5,7.51,60.57,45.62,74.17,Vegetables
Dakshina Kannada,Year-round,2816.8,27.8,88.4,5.74,186.08,158.99,296.69,Banana
Belagavi,Summer,1158.4,26.9,88.4,7.62,43.71,27.83,32.48,Rice
Chitradurga,Rabi,591.8,28.9,44.6,7.78,17.07,23.69,20.35,Pulses
Gadag,Kharif,735.2,34.2,40.1,7.99,41.36,14.98,22.64,Sorghum
Chitradurga,Year-round,719.1,22.6,30.4,7.77,84.77,28.39,35.93,Cotton
Udupi,Kharif,2577.6,24.7,81.3,6.1,67.19,39.6,79.36,Cashew
Shivamogga,Kharif,1019.7,31.5,57.3,5.24,45.19,23.14,37.72,Millets
Shivamogga,Kharif,1874.4,29.7,75.7,5.19,74.29,35.2,42.37,Coconut
Shivamogga,Rabi,1184.9,22.0,59.1,5.8,167.01,48.98,211.2,Arecanut
Kalaburagi,Kharif,491.8,25.0,57.7,7.26,111.61,56.11,139.84,Sugarcane
Dharwad,Kharif,765.8,22.5,77.6,6.94,24.8,17.2,21.83,Pulses
Dharwad,Kharif,806.5,29.3,70.3,6.88,25.63,38.15,44.51,Groundnut
Vijayapura,Rabi,743.0,26.4,76.5,7.54,140.44,53.93,101.67,Grapes
Shivamogga,Rabi,2090.7,30.6,78.9,6.1,58.72,22.96,47.95,Coconut
Haveri,Kharif,862.9,29.6,59.1,6.36,116.61,43.05,58.57,Maize
Hassan,Rabi,1141.7,19.8,49.1,6.43,90.83,51.76,119.26,Coffee
Dakshina Kannada,Kharif,3761.7,23.6,86.3,5.06,47.43,38.17,43.08,Coconut
Kalaburagi,Rabi,555.6,33.0,62.4,7.69,65.36,28.75,44.0,Sunflower
Gadag,Kharif,571.8,27.1,63.0,6.8,18.5,23.32,22.52,Pulses
Ramanagara,Kharif,898.0,27.8,60.3,5.91,35.76,48.55,50.57,Groundnut
Belagavi,Kharif,925.1,29.2,50.9,7.53,17.94,18.77,20.7,Pulses
Dakshina Kannada,Rabi,2242.9,29.3,52.6,5.87,196.85,60.93,165.45,Rubber
Belagavi,Kharif,819.6,28.9,42.7,7.39,31.3,37.23,26.54,Groundnut
Mysuru,Summer,1185.0,29.1,56.5,8.08,131.35,23.68,91.42,Sugarcane
Dakshina Kannada,Rabi,2306.9,24.2,85.3,5.64,183.2,84.4,262.76,Banana
Chitradurga,Kharif,520.3,34.9,54.6,6.24,97.46,31.61,55.58,Maize
Belagavi,Summer,1145.4,21.6,44.2,7.33,105.14,48.8,104.23,Sugarcane
Mysuru,Kharif,883.7,18.1,76.8,7.08,62.72,28.92,41.75,Mango
Kalaburagi,Rabi,442.6,24.9,63.0,8.06,90.85,36.51,53.86,Paddy
Dharwad,Kharif,815.6,26.1,60.4,7.04,72.86,28.48,25.44,Jowar
Belagavi,Kharif,1023.9,24.3,49.9,6.24,105.32,57.25,181.98,Arecanut
Chitradurga,Kharif,558.0,33.5,62.0,6.56,15.32,41.51,52.75,Groundnut
Dakshina Kannada,Kharif,2264.2,26.8,91.5,5.77,139.38,70.7,199.19,Arecanut
Mysuru,Kharif,958.5,26.4,84.3,7.41,51.97,27.18,50.85,Mango
Dharwad,Rabi,763.3,32.0,49.6,6.32,57.91,30.68,27.16,Jowar
Udupi,Rabi,3285.4,24.6,40.8,5.89,254.72,125.68,337.27,Banana
Ramanagara,Kharif,861.2,25.8,64.2,5.77,30.48,47.51,40.46,Groundnut
Ramanagara,Rabi,926.9,29.0,65.6,5.6,164.08,85.74,116.58,Mulberry
Bagalkote,Rabi,722.9,31.0,32.5,7.37,48.43,28.54,50.29,Sunflower
Chitradurga,Kharif,579.7,34.5,67.3,6.0,131.49,37.11,48.38,Maize
Bagalkote,Rabi,686.8,26.9,57.6,7.98,14.36,26.46,13.78,Pulses
Belagavi,Kharif,1004.0,20.5,46.1,7.71,126.4,48.13,77.38,Maize
Dharwad,Kharif,795.2,23.5,71.6,7.92,97.82,45.53,52.02,Maize
Kalaburagi,Summer,506.6,31.8,54.6,7.12,60.08,43.54,41.89,Sunflower
Ramanagara,Year-round,866.7,33.9,42.7,7.49,110.89,65.53,90.16,Tomato
Vijayapura,Kharif,543.9,28.9,59.2,7.31,35.0,23.23,22.0,Pulses
Mandya,Rabi,817.0,32.4,70.7,6.52,81.75,34.82,50.27,Paddy
Mandya,Rabi,908.0,22.3,66.7,7.99,143.5,43.12,77.97,Paddy
Udupi,Kharif,3965.0,25.2,78.1,5.58,79.29,47.38,76.75,Paddy
Bagalkote,Rabi,683.1,32.5,50.9,6.35,22.99,14.54,23.82,Pulses
Vijayapura,Kharif,652.1,32.0,72.4,6.99,26.28,26.38,19.86,Pulses
Udupi,Kharif,2812.1,30.1,88.9,5.48,54.11,38.24,56.19,Paddy
Bagalkote,Rabi,668.4,25.8,58.0,7.1,133.57,58.19,36.41,Wheat
Mysuru,Rabi,1142.1,26.2,78.3,6.33,78.67,30.32,26.18,Mango
Haveri,Kharif,680.7,30.0,60.8,6.75,132.46,39.91,47.08,Maize
Gadag,Rabi,567.8,28.1,52.6,6.3,19.45,18.91,26.29,Pulses
Kalaburagi,Kharif,556.8,24.9,33.9,7.7,45.38,24.43,32.66,Sunflower
Bagalkote,Rabi,631.7,32.9,79.6,7.51,68.46,38.28,50.97,Sunflower
Udupi,Year-round,2816.9,28.4,74.7,5.98,82.89,31.6,41.42,Coconut
Hassan,Rabi,1081.4,28.3,89.2,7.85,34.92,26.85,32.04,Ragi
Mysuru,Rabi,965.0,22.8,76.7,7.24,79.77,49.39,87.66,Vegetables
Gadag,Rabi,661.7,34.9,57.5,6.75,15.91,18.43,26.37,Pulses
Gadag,Rabi,551.0,28.2,79.9,6.45,67.2,35.2,41.37,Cotton
Mysuru,Kharif,1114.0,22.5,88.8,7.42,106.23,52.5,54.32,Paddy
Udupi,Kharif,2974.5,29.6,82.8,5.26,186.01,122.46,288.56,Banana
Bagalkote,Kharif,711.6,24.3,70.1,7.69,45.05,39.94,49.82,Sunflower
Mandya,Summer,975.6,27.4,62.2,7.89,37.4,18.09,32.23,Ragi
Gadag,Kharif,696.1,33.7,65.7,7.48,53.29,22.85,30.32,Jowar
Dakshina Kannada,Kharif,3746.5,29.0,60.0,5.37,213.93,90.1,198.47,Rubber
Chitradurga,Kharif,549.2,28.8,42.7,7.61,24.05,39.9,36.52,Groundnut
Dakshina Kannada,Kharif,2074.7,24.2,87.3,5.85,96.78,66.63,139.9,Pepper
Gadag,Rabi,694.8,27.9,60.2,7.28,51.66,24.91,37.16,Sorghum
Mysuru,Rabi,865.2,20.2,60.5,6.76,101.7,37.52,54.47,Paddy
Mandya,Kharif,707.6,30.6,66.8,8.02,129.2,35.41,132.02,Sugarcane
Hassan,Kharif,864.9,25.2,33.2,7.33,103.26,43.89,80.01,Paddy
Bagalkote,Rabi,614.5,26.9,66.3,8.09,24.73,20.16,14.32,Pulses
Dakshina Kannada,Kharif,2957.5,26.9,94.6,5.87,212.77,97.28,166.85,Rubber
Ramanagara,Year-round,757.7,21.4,31.5,7.11,66.0,31.94,40.16,Ragi
Kalaburagi,Kharif,517.5,26.7,52.2,7.27,24.08,22.61,19.1,Pulses
Shivamogga,Kharif,1335.0,24.5,86.5,5.29,158.75,59.97,227.15,Arecanut
Mysuru,Kharif,954.3,29.3,54.6,6.44,89.65,41.75,47.52,Paddy
Hassan,Year-round,931.0,23.9,46.0,7.24,86.47,41.63,79.23,Vegetables
Belagavi,Rabi,924.2,25.7,90.4,7.77,112.76,42.42,96.6,Sugarcane
Kalaburagi,Rabi,543.8,27.0,36.2,7.98,40.64,22.03,34.19,Jowar
Ramanagara,Kharif,740.0,20.3,69.3,5.72,134.53,73.23,148.39,Mulberry
Vijayapura,Rabi,686.8,25.7,48.8,7.58,46.98,17.64,32.33,Sorghum
Chitradurga,Kharif,602.4,22.1,40.2,5.79,62.09,14.35,40.1,Sorghum
Mysuru,Rabi,1012.7,19.6,83.9,7.79,35.38,33.52,29.3,Mango
Bagalkote,Kharif,693.6,30.6,47.9,6.25,77.42,36.0,58.25,Cotton
Gadag,Rabi,688.0,32.4,78.8,6.9,85.66,33.06,46.62,Cotton
Ramanagara,Kharif,747.1,19.3,67.6,7.19,70.74,37.76,41.49,Ragi
Udupi,Year-round,3500.4,28.9,79.8,5.48,176.93,57.23,215.64,Arecanut
Vijayapura,Kharif,671.1,25.9,66.0,6.73,87.63,59.95,56.95,Onion
Vijayapura,Kharif,496.1,31.3,55.9,8.08,58.62,17.6,29.47,Sorghum
Kalaburagi,Rabi,582.6,26.8,51.6,6.33,69.77,35.87,39.59,Sunflower
Bagalkote,Rabi,607.6,29.6,72.8,6.94,159.0,34.89,26.74,Wheat
Mysuru,Rabi,1172.4,19.9,47.7,7.45,35.94,43.29,42.45,Groundnut
Haveri,Rabi,896.8,28.5,34.9,7.32,115.4,38.98,63.27,Maize
Bagalkote,Rabi,637.8,32.8,33.1,8.03,19.15,21.05,15.65,Pulses
Dakshina Kannada,Kharif,3166.1,24.0,84.8,6.28,98.24,36.02,78.59,Paddy
Dharwad,Rabi,990.4,33.6,44.3,8.11,145.4,41.93,46.72,Wheat
Vijayapura,Rabi,729.2,32.5,30.6,6.43,29.11,23.62,19.74,Pulses
Kalaburagi,Summer,521.1,33.7,54.2,7.74,132.22,48.14,121.53,Sugarcane
Shivamogga,Rabi,1714.1,24.9,78.7,6.14,52.38,32.23,43.62,Coconut
Chitradurga,Kharif,725.5,26.3,65.9,7.01,24.53,52.08,50.07,Groundnut
Chitradurga,Summer,564.8,30.4,64.7,6.15,35.7,27.25,50.84,Groundnut
Mysuru,Rabi,1101.8,23.1,75.7,8.0,83.46,60.34,82.28,Vegetables
Dakshina Kannada,Kharif,2067.2,28.2,91.2,6.2,64.74,60.58,114.29,Pepper
Dakshina Kannada,Rabi,2618.4,23.3,88.2,6.03,55.55,32.11,31.25,Coconut
Haveri,Kharif,842.3,26.7,76.8,7.58,17.97,15.54,16.95,Pulses
Belagavi,Rabi,1078.3,30.4,65.8,7.45,33.03,38.56,35.86,Groundnut
Mysuru,Kharif,970.9,20.3,85.0,7.94,44.7,40.0,26.95,Groundnut
Dakshina Kannada,Kharif,3169.2,31.0,82.6,6.45,175.09,78.69,195.71,Rubber
Bagalkote,Rabi,660.0,25.6,77.4,6.7,117.13,38.29,138.26,Sugarcane
Bagalkote,Kharif,710.3,30.7,31.9,7.12,21.48,14.15,18.57,Pulses
Haveri,Kharif,626.5,25.6,55.9,6.54,81.31,39.76,45.09,Cotton
Gadag,Kharif,760.2,30.4,57.9,7.99,24.44,33.93,26.36,Groundnut
Dharwad,Year-round,783.1,20.2,54.3,6.59,128.7,25.17,47.65,Wheat
Chitradurga,Kharif,686.3,27.4,70.9,5.55,100.08,28.79,40.82,Maize
Mysuru,Year-round,891.6,23.4,52.7,8.1,86.46,34.29,90.88,Sugarcane
Kalaburagi,Year-round,429.9,28.8,78.5,7.21,14.27,12.42,17.22,Pulses
Udupi,Kharif,3689.4,27.8,52.6,5.92,219.64,107.54,234.98,Banana
Mandya,Rabi,941.1,24.2,49.9,8.03,71.18,36.8,55.03,Paddy
Mandya,Kharif,766.1,23.5,33.2,6.98,129.77,34.55,126.16,Sugarcane
Chitradurga,Year-round,501.0,23.2,65.5,7.1,83.46,51.99,83.18,Maize
Mandya,Rabi,831.6,25.4,52.4,7.13,106.62,48.05,67.06,Sugarcane
Shivamogga,Kharif,1860.8,27.8,62.2,5.72,51.65,21.24,44.76,Coconut
Mandya,Kharif,818.8,29.9,68.1,6.36,101.38,33.97,58.39,Paddy
Dakshina Kannada,Kharif,2591.2,24.8,83.2,5.31,77.01,57.36,124.81,Pepper
Hassan,Rabi,971.6,28.0,84.7,7.83,118.96,45.35,84.37,Sugarcane
Gadag,Year-round,753.5,33.6,63.4,7.68,74.91,31.32,38.15,Cotton
Hassan,Kharif,882.0,19.0,58.3,6.85,171.96,64.25,207.33,Arecanut
Mandya,Kharif,875.0,20.4,63.2,8.03,93.48,33.62,52.27,Paddy
Hassan,Rabi,999.5,27.3,91.7,7.67,81.93,70.78,104.0,Coffee
Dharwad,Kharif,854.0,23.2,44.5,6.29,11.59,22.45,19.16,Pulses
Haveri,Summer,865.9,26.4,47.1,6.29,77.04,44.83,65.09,Maize
Dharwad,Rabi,832.0,28.6,78.3,6.65,16.26,15.33,25.31,Pulses
Mandya,Kharif,927.3,28.7,61.5,6.82,89.63,44.83,71.58,Paddy
Gadag,Kharif,767.0,25.5,67.6,6.77,44.88,29.19,43.16,Jowar
Ramanagara,Rabi,734.0,31.6,42.1,7.53,84.66,30.99,72.95,Maize
Kalaburagi,Kharif,400.5,36.5,35.6,6.51,101.09,31.43,58.55,Paddy
Udupi,Kharif,2605.6,22.4,75.3,5.46,59.42,30.66,30.31,Coconut
Gadag,Rabi,642.9,35.9,31.8,7.92,30.33,14.01,15.81,Pulses
Gadag,Rabi,673.1,29.1,44.1,6.27,29.97,62.06,31.69,Groundnut
Belagavi,Summer,998.1,21.0,47.3,7.17,164.31,62.93,257.05,Arecanut
Shivamogga,Year-round,1238.3,26.9,61.9,6.47,88.83,34.78,78.04,Vegetables
Chitradurga,Rabi,599.3,28.3,34.1,6.66,18.08,25.87,18.52,Pulses
Shivamogga,Kharif,1588.8,25.1,89.5,5.58,89.82,58.69,99.14,Vegetables
Dakshina Kannada,Kharif,2720.8,25.7,61.1,6.08,193.39,110.21,193.91,Rubber
Chitradurga,Kharif,610.7,35.9,31.1,6.5,30.55,18.23,28.1,Pulses
Hassan,Kharif,1077.7,22.4,52.4,6.85,118.62,34.11,73.95,Paddy
Dakshina Kannada,Kharif,2652.9,30.2,69.9,5.12,110.58,28.75,76.97,Paddy
Mysuru,Rabi,951.2,28.8,92.3,6.97,40.23,38.65,37.03,Groundnut
Gadag,Rabi,521.2,34.5,78.2,7.46,37.57,15.6,18.9,Sorghum
Kalaburagi,Kharif,597.3,35.5,67.7,8.12,100.36,45.17,52.95,Paddy
Dakshina Kannada,Summer,3706.7,31.9,67.9,5.21,92.49,31.97,56.8,Paddy
Dharwad,Kharif,880.5,31.0,63.7,7.09,60.3,41.82,44.52,Maize
Belagavi,Year-round,841.1,24.4,62.4,7.42,17.61,15.7,18.2,Pulses
Udupi,Kharif,3411.0,24.9,48.5,5.59,160.62,61.88,183.95,Arecanut
Gadag,Kharif,642.5,33.9,68.1,7.96,55.65,11.56,21.49,Sorghum
Chitradurga,Kharif,706.7,23.9,62.7,6.34,21.47,32.98,39.12,Groundnut
Chitradurga,Rabi,611.7,30.9,57.9,6.52,100.49,35.82,51.92,Maize
Ramanagara,Year-round,817.1,33.0,34.2,7.47,41.69,41.17,41.47,Groundnut
Mysuru,Kharif,904.1,31.2,84.6,6.26,80.58,59.2,61.83,Vegetables
Shivamogga,Summer,1918.6,23.5,61.3,6.25,109.93,34.78,131.37,Sugarcane
Vijayapura,Year-round,683.7,29.2,56.7,7.51,75.61,52.63,69.89,Onion
Mysuru,Rabi,987.4,24.8,58.1,7.02,19.02,41.56,59.75,Groundnut
Dharwad,Kharif,985.6,21.5,72.0,7.69,91.64,40.21,30.78,Wheat
Dharwad,Kharif,870.1,30.3,62.2,7.87,165.38,38.46,35.88,Wheat
Hassan,Kharif,880.3,28.7,49.5,6.82,117.51,54.45,113.74,Coffee
Udupi,Rabi,3776.0,28.0,42.0,5.55,43.9,40.6,101.42,Cashew
Vijayapura,Rabi,476.5,27.3,42.6,6.82,99.99,69.1,94.75,Grapes
Haveri,Rabi,656.7,29.0,66.2,6.64,124.87,60.81,78.19,Maize
Mandya,Kharif,807.9,29.3,64.1,6.53,43.85,29.29,40.48,Ragi
Dakshina Kannada,Kharif,2262.4,26.6,53.7,5.91,200.12,45.81,237.71,Arecanut
Udupi,Kharif,2621.5,29.2,52.3,5.72,94.58,42.25,66.2,Paddy
Mysuru,Kharif,896.1,19.5,50.6,6.96,48.78,50.78,46.2,Mango
Ramanagara,Rabi,849.7,33.7,60.5,7.03,88.95,42.97,75.26,Maize
Mandya,Kharif,831.6,32.3,51.3,7.83,71.88,48.25,89.57,Vegetables
Dharwad,Rabi,909.4,28.7,51.6,6.92,134.25,29.06,41.58,Wheat
Dharwad,Year-round,730.4,28.4,68.2,7.77,32.16,12.12,32.44,Jowar
Vijayapura,Rabi,492.5,28.6,71.3,7.82,25.09,17.59,19.61,Pulses
Mandya,Kharif,810.4,33.3,47.4,7.16,148.85,41.47,75.02,Paddy
Dharwad,Year-round,818.0,22.2,30.5,7.61,132.34,46.77,25.39,Wheat
Shivamogga,Year-round,1751.1,21.8,60.0,5.07,88.8,33.37,55.63,Paddy
Haveri,Rabi,814.1,23.1,32.1,6.44,21.14,36.02,19.92,Groundnut
Mysuru,Kharif,1014.0,25.2,68.7,6.7,117.53,20.04,179.43,Sugarcane
Gadag,Year-round,789.6,30.3,37.2,8.12,43.32,29.02,37.41,Jowar
Gadag,Kharif,626.1,27.9,49.8,7.5,100.16,27.47,41.25,Cotton
Bagalkote,Kharif,771.5,32.3,49.8,6.23,59.4,26.99,32.06,Sunflower
Dakshina Kannada,Kharif,3158.3,30.8,64.2,5.03,96.62,41.73,73.87,Paddy
Bagalkote,Rabi,753.5,28.5,51.7,7.18,22.92,30.01,19.96,Pulses
Bagalkote,Year-round,710.0,25.3,60.6,6.8,63.17,34.94,28.72,Cotton
Haveri,Kharif,741.9,25.2,56.3,7.16,67.54,30.16,39.46,Cotton
Mandya,Rabi,719.2,32.2,37.5,8.05,118.43,34.65,97.34,Sugarcane
Chitradurga,Rabi,582.7,30.6,37.1,5.77,15.56,22.99,23.87,Pulses
Gadag,Kharif,731.9,32.6,57.2,6.24,18.25,22.66,22.46,Pulses
Dharwad,Kharif,927.6,30.2,46.0,6.66,48.23,17.81,38.85,Jowar
Bagalkote,Rabi,659.3,31.9,47.7,7.79,23.05,12.31,19.75,Pulses
Mysuru,Rabi,992.4,21.5,52.5,6.34,96.49,43.98,79.38,Vegetables
Ramanagara,Kharif,817.7,23.7,49.4,5.81,52.0,41.99,34.89,Ragi
Shivamogga,Rabi,1010.6,18.6,84.1,5.64,61.15,39.65,36.33,Coconut
Hassan,Rabi,955.5,19.0,63.1,7.16,56.19,40.25,55.5,Vegetables
Belagavi,Kharif,1090.4,26.3,57.2,7.72,14.89,20.27,21.03,Pulses
Hassan,Kharif,1053.9,19.6,87.4,6.85,104.58,61.53,201.14,Arecanut
Mandya,Kharif,895.0,22.2,30.3,7.49,114.91,35.13,75.01,Paddy
Dakshina Kannada,Kharif,2888.1,28.1,57.8,6.21,72.8,61.59,133.27,Pepper
Vijayapura,Rabi,514.4,25.9,55.5,6.84,51.6,22.35,21.37,Sorghum
Ramanagara,Kharif,979.8,24.0,53.0,7.64,158.34,64.04,132.62,Mulberry
Bagalkote,Rabi,664.5,31.0,72.8,6.82,46.49,20.58,26.14,Sorghum
Udupi,Kharif,2649.6,25.3,51.3,5.43,95.63,23.48,60.94,Paddy
Bagalkote,Rabi,673.3,29.0,33.3,7.09,81.46,23.02,47.92,Cotton
Hassan,Rabi,1051.7,20.3,60.6,7.4,143.35,45.32,208.83,Arecanut
Hassan,Kharif,847.5,26.6,78.4,8.03,63.65,59.76,140.0,Coffee
Dharwad,Rabi,921.8,32.9,65.6,6.3,130.07,43.1,36.75,Wheat
Shivamogga,Summer,1352.9,23.8,85.3,6.06,137.92,78.0,186.0,Arecanut
Mysuru,Kharif,978.4,18.8,53.3,7.39,90.76,48.36,101.73,Vegetables
Gadag,Kharif,641.2,32.5,69.9,8.06,99.01,36.9,40.45,Cotton
Haveri,Kharif,831.6,33.4,45.2,6.28,62.12,32.68,41.07,Cotton
Gadag,Kharif,621.3,32.3,46.9,7.16,50.45,13.73,26.47,Sorghum
Mysuru,Kharif,815.6,23.0,30.7,6.49,112.48,38.73,28.97,Paddy
Belagavi,Rabi,918.7,24.7,73.3,6.99,28.81,42.43,41.57,Groundnut
Haveri,Kharif,696.2,25.8,56.8,7.59,20.42,29.32,23.51,Pulses
Ramanagara,Year-round,906.0,19.5,88.0,6.23,143.01,67.88,80.85,Mulberry
Kalaburagi,Kharif,625.4,36.7,53.8,7.74,73.22,28.16,68.59,Paddy
Ramanagara,Rabi,996.3,34.0,47.8,7.04,120.55,41.55,69.6,Maize
Belagavi,Summer,1109.8,30.4,68.1,6.28,112.27,46.89,111.92,Sugarcane
Mandya,Rabi,946.9,28.7,93.9,7.95,88.53,68.69,46.56,Vegetables
Hassan,Kharif,972.6,27.9,44.2,7.81,156.31,58.56,216.61,Arecanut
Mysuru,Kharif,873.4,28.3,35.2,7.2,43.6,16.69,32.44,Ragi
Haveri,Year-round,770.8,23.1,63.7,7.34,20.89,42.74,42.08,Groundnut
Ramanagara,Kharif,817.5,32.9,50.6,7.18,22.09,31.15,36.04,Groundnut
Vijayapura,Year-round,480.0,29.1,49.6,6.35,97.91,61.94,127.27,Grapes
Chitradurga,Summer,552.4,35.9,42.6,6.99,43.53,21.29,37.67,Sorghum
Kalaburagi,Kharif,467.2,31.3,44.9,6.78,15.51,15.82,28.04,Pulses
Kalaburagi,Year-round,609.7,34.5,31.1,6.92,112.82,42.2,126.33,Sugarcane
Mysuru,Summer,962.7,24.3,93.2,7.87,35.4,47.06,39.59,Groundnut
Ramanagara,Rabi,843.7,30.6,66.2,6.54,145.66,83.45,145.83,Mulberry
Udupi,Summer,2849.6,29.2,70.9,6.24,49.66,37.04,62.23,Cashew
Bagalkote,Rabi,685.0,25.4,31.8,7.65,132.51,47.73,46.33,Wheat
Dharwad,Rabi,840.7,23.9,64.9,7.64,32.5,40.74,43.62,Groundnut
Kalaburagi,Rabi,675.7,37.6,77.6,8.01,39.81,27.59,42.26,Jowar
Dakshina Kannada,Rabi,3698.7,27.3,67.9,6.11,232.89,86.58,133.2,Rubber
Vijayapura,Summer,582.7,28.0,62.3,8.01,136.41,62.74,141.9,Grapes
Bagalkote,Kharif,796.4,31.4,56.9,7.66,31.66,49.63,45.34,Groundnut
Gadag,Kharif,766.8,27.0,34.1,6.85,45.74,13.83,28.99,Sorghum
Mandya,Year-round,768.8,23.9,69.8,7.23,110.02,54.43,107.89,Sugarcane
Haveri,Kharif,717.2,27.9,49.1,8.18,106.75,55.35,54.91,Maize
Shivamogga,Rabi,1130.2,29.6,57.1,5.98,115.66,38.69,125.49,Sugarcane
Shivamogga,Kharif,1958.4,20.4,44.5,5.95,139.53,68.52,55.5,Vegetables
Haveri,Rabi,698.3,33.2,47.9,6.26,22.4,61.3,45.22,Groundnut
Ramanagara,Kharif,838.2,33.3,45.1,7.15,30.17,54.96,44.88,Groundnut
Haveri,Rabi,697.2,24.6,34.4,6.91,59.93,37.26,58.58,Maize
Mandya,Rabi,801.5,32.7,41.9,7.92,86.53,52.06,89.66,Vegetables
Gadag,Rabi,558.0,35.5,41.5,7.07,70.5,42.4,43.85,Cotton
Udupi,Kharif,3122.1,23.9,61.1,6.2,93.81,35.9,77.56,Paddy
Vijayapura,Rabi,541.5,35.5,54.7,7.64,122.4,40.36,107.54,Sugarcane
Kalaburagi,Summer,680.5,33.9,72.2,6.39,24.53,15.98,14.47,Pulses
Haveri,Year-round,670.7,32.9,74.1,7.24,37.64,41.86,41.28,Groundnut
Ramanagara,Kharif,744.3,33.8,70.2,6.65,45.8,38.3,43.78,Ragi
Ramanagara,Year-round,826.2,23.4,40.2,6.99,16.14,47.96,47.67,Groundnut
Belagavi,Kharif,1157.7,26.7,75.6,6.55,138.66,44.98,120.83,Sugarcane
Hassan,Rabi,953.9,26.6,78.5,7.12,58.9,28.15,30.86,Ragi
Shivamogga,Summer,1202.7,30.3,50.5,5.89,108.7,35.19,114.93,Sugarcane
Kalaburagi,Kharif,423.9,36.9,47.8,7.62,123.85,26.51,121.73,Sugarcane
Mysuru,Kharif,880.2,30.2,63.5,6.45,39.6,25.8,31.49,Ragi
Mandya,Rabi,706.4,31.4,62.0,6.6,144.42,34.24,155.59,Sugarcane
Mysuru,Kharif,1125.3,31.6,54.6,7.48,37.39,22.71,21.6,Ragi
Shivamogga,Kharif,2076.0,19.5,89.4,5.16,26.35,18.16,23.47,Millets
Belagavi,Year-round,870.7,23.2,33.3,6.78,89.02,26.23,68.14,Maize
Udupi,Year-round,2779.1,27.1,67.6,6.2,95.29,29.44,62.86,Paddy
Kalaburagi,Rabi,498.4,37.3,76.6,6.24,93.34,46.93,60.81,Paddy
Chitradurga,Rabi,604.7,27.0,65.4,5.6,16.52,23.28,14.33,Pulses
Haveri,Kharif,646.9,23.6,76.1,8.11,80.49,46.19,55.49,Maize
Mysuru,Kharif,985.5,30.4,52.0,6.98,99.01,47.14,99.61,Vegetables
Gadag,Kharif,534.5,24.6,79.4,7.09,16.41,43.62,45.56,Groundnut
Mandya,Summer,944.6,25.8,74.6,7.82,108.35,46.07,81.27,Paddy
Ramanagara,Kharif,785.1,30.1,77.1,7.21,56.58,24.63,39.05,Ragi
Belagavi,Rabi,878.8,23.5,46.1,7.11,121.2,34.25,110.74,Sugarcane
Haveri,Kharif,672.9,26.1,74.5,6.95,39.85,27.65,27.94,Jowar
Kalaburagi,Year-round,561.9,31.5,36.7,6.3,60.09,27.86,27.32,Jowar
Hassan,Kharif,878.2,20.1,50.7,6.97,120.66,41.39,120.55,Sugarcane
Belagavi,Rabi,988.8,24.6,87.9,6.77,100.53,40.37,123.71,Sugarcane
Udupi,Kharif,3791.5,22.0,43.6,5.15,194.31,105.87,302.78,Banana
Mandya,Rabi,822.6,27.0,51.7,7.57,69.03,55.46,87.64,Vegetables
Kalaburagi,Rabi,469.1,32.9,75.3,7.16,92.38,27.4,122.28,Sugarcane
Dharwad,Rabi,895.0,25.1,45.8,7.18,103.46,40.54,65.39,Maize
Kalaburagi,Summer,453.7,36.3,53.8,7.76,24.14,20.6,17.59,Pulses
Vijayapura,Year-round,677.9,32.0,64.6,7.04,91.8,65.97,116.25,Grapes
Vijayapura,Year-round,626.2,27.3,57.3,6.88,54.24,24.54,21.48,Sorghum
Haveri,Kharif,693.5,29.0,74.3,7.08,88.81,40.35,55.62,Maize
Gadag,Year-round,590.0,23.9,46.5,7.33,47.43,25.62,31.18,Sorghum
Vijayapura,Year-round,470.6,37.9,62.7,7.44,79.54,51.38,92.06,Onion
Dharwad,Year-round,815.9,32.5,35.2,6.56,101.16,30.71,70.04,Maize
Kalaburagi,Rabi,603.1,28.7,52.6,7.55,48.75,37.85,43.65,Jowar
Mysuru,Summer,1167.3,26.5,90.0,6.73,67.55,47.92,127.51,Vegetables
Haveri,Kharif,808.6,22.4,70.9,7.92,95.58,43.69,36.25,Maize
Shivamogga,Rabi,2100.5,22.7,67.2,5.76,155.45,45.98,196.75,Arecanut
Shivamogga,Rabi,1079.4,27.4,69.4,6.06,142.36,48.98,149.83,Arecanut
Udupi,Kharif,2674.4,28.4,48.8,5.74,66.33,36.53,82.24,Cashew
Dakshina Kannada,Summer,2525.5,25.0,51.3,5.64,127.05,56.22,183.14,Rubber
Ramanagara,Rabi,996.8,32.3,60.8,7.13,196.74,92.52,149.98,Mulberry
Kalaburagi,Kharif,518.6,25.6,44.7,6.65,94.61,41.8,145.91,Sugarcane
